epoch,train_loss,val_loss,onset_f1,onset_p,onset_r,frame_f1,frame_p,frame_r,offset_f1,offset_p,offset_r,velocity_mse,lr
1,0.19931076214569637,,,,,,,,,,,,0.0006
2,0.15853354527168514,,,,,,,,,,,,0.0006
3,0.14913371667656142,0.14428043869619597,0.798053023252113,0.7527653201022271,0.8491387332864924,0.6355549039034467,0.4843948945031272,0.9238515065200216,0.35320367215151005,0.26623801220575416,0.5245440381181052,0.004534559965594956,0.0006
4,0.1435353703784917,,,,,,,,,,,,0.0006
5,0.13961588739472747,,,,,,,,,,,,0.0006
6,0.1363761732797773,0.13912528574823618,0.8163501209843801,0.7922890645922679,0.8419183822955404,0.6589472443438933,0.5135270606828198,0.919263568968783,0.3692118642163164,0.279317271384481,0.5444292693127408,0.0047579083475251666,0.0006
7,0.13389724709455944,,,,,,,,,,,,0.0006
8,0.13184053974474005,,,,,,,,,,,,0.0006
9,0.13033038314844056,0.1320431862740281,0.8234409914653961,0.7979689198551231,0.8505928901216898,0.6667294847432733,0.5202934131277247,0.9278805595921913,0.3714561346531637,0.27362452583948393,0.578177496762967,0.003923884178460505,0.0006
10,0.1286985873299955,,,,,,,,,,,,0.0006
11,0.1274145293377543,,,,,,,,,,,,0.0006
12,0.12617063682420823,0.1303703949234621,0.8221274728105114,0.7728291079712897,0.8781438186326498,0.6443789553581828,0.4888236607678381,0.9451472502259178,0.37244650592919964,0.2708658904857658,0.5959352014615426,0.003738067607867198,0.0006
13,0.12531103658077233,,,,,,,,,,,,0.0006
14,0.1242728465177489,,,,,,,,,,,,0.0006
15,0.12371952027751443,0.12741013844971527,0.8276493667254935,0.7967622861562033,0.8610277562636112,0.655604503636512,0.5022082714145609,0.9439181206732543,0.37330344451549613,0.2726332904874922,0.5918416500419624,0.0037579595619434973,0.0006
16,0.12264815230521844,,,,,,,,,,,,0.0006
17,0.12198844150242355,,,,,,,,,,,,0.0006
18,0.12136309597499864,0.12741411492942337,0.8302833180069232,0.8042660045516564,0.8580401904453027,0.6692516014334174,0.5207956604849074,0.9360895749534114,0.3787868465747695,0.2774136978789074,0.5969116791775929,0.0037598430207441123,0.0006
19,0.12060921711280727,,,,,,,,,,,,0.0006
20,0.12000539289207016,,,,,,,,,,,,0.0006
21,0.11957638250402051,0.12633505107801474,0.8346082603650812,0.8061024139585944,0.8652041043006194,0.6714773904259355,0.5232432699041496,0.936899875674594,0.3806306977936177,0.27834956277663825,0.6017455239325726,0.003574204707641138,0.0006
22,0.119152558488619,,,,,,,,,,,,0.0006
23,0.11854566040362731,,,,,,,,,,,,0.0006
24,0.11825460635567654,0.12464981213836612,0.8289878117158056,0.8049045588057233,0.854556698307476,0.67255185765316,0.5236330534714236,0.9398371786191226,0.3820365745355041,0.2800228972901683,0.6009744239388273,0.003534584274372696,0.0006
25,0.11761251921834696,,,,,,,,,,,,0.0006
26,0.11725560416438119,,,,,,,,,,,,0.0006
27,0.11686758238290607,0.12413193980332263,0.8288984573683917,0.7953861164088349,0.8653590062260864,0.6726537984950264,0.523461094319141,0.9407903598894899,0.3720948076379566,0.26414132448997263,0.629278274677767,0.003451021875311192,0.0006
28,0.11644621267874951,,,,,,,,,,,,0.0006
29,0.11614947201796613,,,,,,,,,,,,0.0006
30,0.11592709590476315,0.12614819832413854,0.8356771508809108,0.8251327040013012,0.846494593442475,0.6792164278135212,0.5328621413646975,0.9364071533645024,0.38305082234185533,0.2806095332712696,0.6032933251306716,0.003649553064339626,0.0006
31,0.11539875865301176,,,,,,,,,,,,0.0006
32,0.11526779146324435,,,,,,,,,,,,0.0006
33,0.11480176093615292,0.12544305912570325,0.8277211240454116,0.799875456259042,0.8575754846689019,0.6848051070792969,0.5405534026025874,0.9340705137068686,0.3763093048781374,0.26859150393442793,0.628278458584182,0.0034996076867392016,0.0006
34,0.11463838093727428,,,,,,,,,,,,0.0006
35,0.11424253661561815,,,,,,,,,,,,0.0006
36,0.11404076562661783,0.12482962866653939,0.8317282420138967,0.8090448781263034,0.8557202639336581,0.6856507243843096,0.5413914698695245,0.9347150373080294,0.3798865046129816,0.2727287522729057,0.6257495119945258,0.0035344272729989556,0.0006
37,0.11381679052961886,,,,,,,,,,,,0.0006
