epoch,train_loss,val_loss,onset_f1,onset_prec,onset_rec,frame_f1,frame_prec,frame_rec,offset_f1,offset_prec,offset_rec
1,0.169320,0.146531,0.646435,0.513496,0.872253,0.547567,0.389606,0.920957,0.268309,0.615064,0.171578
2,0.136528,0.134775,0.655855,0.519445,0.889423,0.632637,0.496198,0.872565,0.364497,0.587374,0.264234
